player,nationality,position,team,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,team_county
Elye Wahi,FRA,FW, Lens,2003,6,6,455,5.1,2,1,3,2,0,0,1,0,1.1,1.1,0.1,1.2,11,4,35,0.40,0.20,0.59,0.40,0.59,0.21,0.02,0.23,0.21,0.23,fr
Kyle Walker, ENG,DF,g Manchester City,1990,5,5,383,4.3,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,7,27,18,0.00,0.00,0.00,0.00,0.00,0.05,0.07,0.12,0.05,0.12,en
Aaron Wan-Bissaka, ENG,DF,g Manchester Utd,1997,3,2,212,2.4,0,1,1,0,0,0,1,0,0.0,0.0,0.5,0.5,3,10,4,0.00,0.42,0.42,0.00,0.42,0.00,0.20,0.20,0.00,0.20,en
Timon Wellenreuther,GER,GK, Feyenoord,1995,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,nl
Stephen Welsh, SCO,DF,t Celtic,2000,1,1,74,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,sc
Wendell,BRA,DF, Porto,1993,5,4,387,4.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,7,8,12,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.04,0.04,0.04,pt
Timo Werner,GER,"FW,MF", RB Leipzig,1996,4,0,50,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,0,5,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.21,0.21,0.21,de
Ben White, ENG,DF,g Arsenal,1997,8,5,574,6.4,0,0,0,0,0,0,1,0,0.3,0.3,0.6,0.9,5,37,24,0.00,0.00,0.00,0.00,0.00,0.04,0.11,0.15,0.04,0.15,en
Mats Wieffer,NED,MF, Feyenoord,1999,6,5,469,5.2,1,1,2,1,0,0,2,0,0.6,0.6,0.2,0.8,4,36,8,0.19,0.19,0.38,0.19,0.38,0.12,0.03,0.15,0.12,0.15,nl
Owen Wijndal,NED,DF, Antwerp,1999,6,5,451,5.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,8,7,24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,be
Joe Willock, ENG,MF,g Newcastle Utd,1999,2,1,101,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,3,6,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,en
Callum Wilson, ENG,FW,g Newcastle Utd,1992,4,2,239,2.7,0,0,0,0,0,0,0,0,0.8,0.8,0.1,0.9,0,1,8,0.00,0.00,0.00,0.00,0.00,0.30,0.03,0.33,0.30,0.33,en
Axel Witsel,BEL,"DF,MF", Atlético Madrid,1989,8,8,706,7.8,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,2,25,0,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,es
Marius Wolf,GER,"DF,FW", Dortmund,1995,5,3,281,3.1,0,0,0,0,0,0,1,0,0.2,0.2,0.4,0.6,8,10,14,0.00,0.00,0.00,0.00,0.00,0.08,0.11,0.19,0.08,0.19,de
Jacob Wright, ENG,FW,g Manchester City,2005,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,en
Abduqodir Xusanov,UZB,DF, Lens,2004,2,0,30,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,fr
Lamine Yamal,ESP,FW, Barcelona,2007,8,5,484,5.4,0,1,1,0,0,0,2,0,1.6,1.6,1.3,3.0,28,18,62,0.00,0.19,0.19,0.00,0.19,0.30,0.25,0.55,0.30,0.55,es
Alhassan Yusuf,NGA,MF, Antwerp,2000,6,4,380,4.2,1,1,2,1,0,0,1,0,0.2,0.2,0.2,0.5,6,23,11,0.24,0.24,0.47,0.24,0.47,0.05,0.06,0.11,0.05,0.11,be
Mattia Zaccagni,ITA,FW, Lazio,1995,6,6,460,5.1,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.4,11,11,61,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.07,0.04,0.07,it
Wilfried Zaha,CIV,FW, Galatasaray,1992,6,5,399,4.4,1,1,2,1,0,0,1,0,0.8,0.8,0.3,1.0,13,8,33,0.23,0.23,0.45,0.23,0.45,0.18,0.06,0.24,0.18,0.24,tr
Warren Zaire-Emery,FRA,MF, Paris S-G,2006,7,7,630,7.0,1,3,4,1,0,0,1,0,0.2,0.2,1.2,1.5,23,35,17,0.14,0.43,0.57,0.14,0.57,0.04,0.18,0.21,0.04,0.21,fr
Arsen Zakharyan,RUS,"FW,MF", Real Sociedad,2003,5,2,219,2.4,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.5,5,13,19,0.00,0.00,0.00,0.00,0.00,0.14,0.05,0.20,0.14,0.20,es
Rodrigo Zalazar,URU,MF, Braga,1999,6,5,395,4.4,0,1,1,0,0,0,2,0,0.1,0.1,1.2,1.3,7,32,6,0.00,0.23,0.23,0.00,0.23,0.03,0.27,0.30,0.03,0.30,pt
Andre-Frank Zambo Anguissa,CMR,MF, Napoli,1995,7,7,627,7.0,1,1,2,1,0,0,1,0,1.0,1.0,0.6,1.7,11,37,21,0.14,0.14,0.29,0.14,0.29,0.15,0.09,0.24,0.15,0.24,it
Alessandro Zanoli,ITA,DF, Napoli,2000,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,3,0.00,0.00,0.00,0.00,0.00,0.61,0.00,0.61,0.61,0.61,it
Ramiz Zerrouki,ALG,MF, Feyenoord,1998,5,4,353,3.9,1,0,1,1,0,0,2,0,0.1,0.1,0.1,0.2,4,21,1,0.25,0.00,0.25,0.25,0.25,0.04,0.02,0.06,0.04,0.06,nl
Piotr Zieliński,POL,MF, Napoli,1994,6,6,466,5.2,1,0,1,0,1,1,1,0,2.0,1.3,0.6,1.8,14,37,17,0.19,0.00,0.19,0.00,0.00,0.39,0.11,0.50,0.24,0.35,it
Oleksandr Zinchenko,UKR,DF,g Arsenal,1996,5,3,233,2.6,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.2,8,22,4,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.09,0.02,0.09,en
Hakim Ziyech,MAR,FW, Galatasaray,1993,5,3,249,2.8,2,1,3,2,0,0,1,0,0.2,0.2,0.5,0.7,5,13,35,0.72,0.36,1.08,0.72,1.08,0.08,0.18,0.26,0.08,0.26,tr
Igor Zubeldia,ESP,DF, Real Sociedad,1997,8,8,692,7.7,0,0,0,0,0,0,3,0,0.1,0.1,0.1,0.2,4,33,0,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,es
Martín Zubimendi,ESP,MF, Real Sociedad,1999,8,8,712,7.9,0,0,0,0,0,0,0,0,0.6,0.6,0.2,0.8,6,43,8,0.00,0.00,0.00,0.00,0.00,0.08,0.02,0.10,0.08,0.10,es
Oleksandr Zubkov,UKR,"FW,MF", Shakhtar,1996,6,6,535,5.9,0,2,2,0,0,0,0,0,0.4,0.4,2.0,2.4,19,23,33,0.00,0.34,0.34,0.00,0.34,0.07,0.33,0.40,0.07,0.40,ua
Martin Ødegaard,NOR,MF,g Arsenal,1998,7,6,570,6.3,2,1,3,2,0,0,0,0,1.2,1.2,0.5,1.7,12,42,24,0.32,0.16,0.47,0.32,0.47,0.20,0.09,0.29,0.20,0.29,en
