player,nationality,position,team,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,team_county
Robin Gosens,GER,"DF,MF", Union Berlin,1994,6,5,440,4.9,1,0,1,1,0,0,1,0,0.4,0.4,0.1,0.5,6,16,20,0.20,0.00,0.20,0.20,0.20,0.08,0.02,0.10,0.08,0.10,de
Lucas Gourna-Douath,FRA,MF, RB Salzburg,2003,5,4,399,4.4,0,0,0,0,0,0,3,0,0.0,0.0,0.6,0.6,5,25,0,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.14,0.00,0.14,at
Tiago Gouveia,POR,FW, Benfica,2001,3,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,pt
Kamil Grabara,POL,GK, FC Copenhagen,1999,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dk
Jonathan Gradit,FRA,DF, Lens,1992,6,6,510,5.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,5,24,1,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,fr
Jack Grealish, ENG,FW,g Manchester City,1995,6,6,369,4.1,0,1,1,0,0,0,0,0,0.6,0.6,1.8,2.4,23,18,67,0.00,0.24,0.24,0.00,0.24,0.15,0.44,0.59,0.15,0.59,en
Antoine Griezmann,FRA,"FW,MF", Atlético Madrid,1991,8,8,638,7.1,6,0,6,6,0,1,1,0,4.2,3.2,1.3,4.5,17,54,49,0.85,0.00,0.85,0.85,0.85,0.59,0.18,0.77,0.46,0.63,es
Marko Grujić,SRB,MF, Porto,1996,3,0,50,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,pt
Nemanja Gudelj,SRB,DF, Sevilla,1991,6,6,540,6.0,2,0,2,2,0,0,1,0,0.4,0.4,0.1,0.5,7,16,0,0.33,0.00,0.33,0.33,0.33,0.07,0.01,0.09,0.07,0.09,es
Gonçalo Guedes,POR,FW, Benfica,1996,2,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,4,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.12,0.00,0.12,pt
Mattéo Guendouzi,FRA,MF, Lazio,1999,8,4,495,5.5,0,1,1,0,0,0,2,0,0.5,0.5,0.5,1.0,14,30,27,0.00,0.18,0.18,0.00,0.18,0.10,0.09,0.18,0.10,0.18,it
Raphaël Guerreiro,POR,"DF,MF", Bayern Munich,1993,4,3,231,2.6,0,1,1,0,0,0,0,0,0.4,0.4,0.3,0.7,2,28,17,0.00,0.39,0.39,0.00,0.39,0.15,0.11,0.26,0.15,0.26,de
Morgan Guilavogui,GUI,"FW,MF", Lens,1998,4,0,70,0.8,0,0,0,0,0,0,2,1,0.6,0.6,0.1,0.7,1,4,10,0.00,0.00,0.00,0.00,0.00,0.73,0.15,0.89,0.73,0.89,fr
Bruno Guimarães,BRA,MF,g Newcastle Utd,1997,6,6,540,6.0,0,1,1,0,0,0,2,0,0.3,0.3,0.4,0.6,5,27,10,0.00,0.17,0.17,0.00,0.17,0.04,0.06,0.10,0.04,0.10,en
Marc Guiu,ESP,FW, Barcelona,2006,2,0,35,0.4,1,0,1,1,0,0,0,0,0.4,0.4,0.0,0.4,0,0,1,2.57,0.00,2.57,2.57,2.57,0.94,0.00,0.94,0.94,0.94,es
Péter Gulácsi,HUN,GK, RB Leipzig,1990,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,de
İlkay Gündoğan,GER,MF, Barcelona,1990,8,7,661,7.3,0,3,3,0,0,0,0,0,0.8,0.8,2.6,3.5,17,67,26,0.00,0.41,0.41,0.00,0.41,0.11,0.36,0.47,0.11,0.47,es
Joško Gvardiol,CRO,DF,g Manchester City,2002,4,4,359,4.0,0,1,1,0,0,0,0,0,0.1,0.1,0.5,0.6,11,33,13,0.00,0.25,0.25,0.00,0.25,0.02,0.12,0.14,0.02,0.14,en
Erling Haaland,NOR,FW,g Manchester City,2000,7,7,596,6.6,6,1,7,4,2,2,0,0,6.3,4.7,0.9,5.7,6,10,39,0.91,0.15,1.06,0.60,0.76,0.95,0.14,1.09,0.71,0.86,en
Janik Haberer,GER,MF, Union Berlin,1994,5,4,357,4.0,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,6,12,13,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.08,0.05,0.08,de
Amadou Haidara,MLI,"MF,DF", RB Leipzig,1998,5,3,266,3.0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,1,15,2,0.00,0.00,0.00,0.00,0.00,0.04,0.10,0.14,0.04,0.14,de
Massadio Haïdara,MLI,DF, Lens,1992,4,1,118,1.3,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,6,2,3,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,fr
Achraf Hakimi,MAR,DF, Paris S-G,1998,8,8,711,7.9,1,0,1,1,0,0,3,0,0.8,0.8,1.7,2.5,24,64,70,0.13,0.00,0.13,0.13,0.13,0.11,0.21,0.32,0.11,0.32,fr
Lewis Hall, ENG,DF,g Newcastle Utd,2004,1,1,45,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,en
Sébastien Haller,CIV,FW, Dortmund,1994,2,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,de
Micah Hamilton, ENG,FW,g Manchester City,2003,2,1,107,1.2,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,7,2,13,0.84,0.00,0.84,0.84,0.84,0.17,0.04,0.21,0.17,0.21,en
Dávid Hancko,SVK,DF, Feyenoord,1997,6,6,540,6.0,1,0,1,1,0,0,0,0,1.3,1.2,0.0,1.2,3,27,1,0.17,0.00,0.17,0.17,0.17,0.22,0.00,0.22,0.20,0.21,nl
Joe Hart, ENG,GK,t Celtic,1987,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,sc
Quilindschy Hartman,NED,DF, Feyenoord,2001,6,6,540,6.0,0,0,0,0,0,0,1,0,0.3,0.3,0.7,1.0,7,32,16,0.00,0.00,0.00,0.00,0.00,0.04,0.12,0.17,0.04,0.17,nl
Reo Hatate,JPN,MF,t Celtic,1997,3,3,134,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.3,3,8,6,0.00,0.00,0.00,0.00,0.00,0.08,0.09,0.17,0.08,0.17,sc
Kai Havertz,GER,"MF,FW",g Arsenal,1999,8,7,655,7.3,1,0,1,1,0,0,2,0,0.9,0.9,0.7,1.7,8,19,33,0.14,0.00,0.14,0.14,0.14,0.14,0.10,0.24,0.14,0.24,en
Benjamin Henrichs,GER,"DF,MF", RB Leipzig,1997,6,6,491,5.5,0,2,2,0,0,0,2,0,0.2,0.2,1.1,1.3,9,18,19,0.00,0.37,0.37,0.00,0.37,0.04,0.20,0.24,0.04,0.24,de
Mario Hermoso,ESP,DF, Atlético Madrid,1995,8,8,727,8.1,1,0,1,1,0,0,2,0,0.1,0.1,0.2,0.2,7,40,14,0.12,0.00,0.12,0.12,0.12,0.01,0.02,0.03,0.01,0.03,es
Lucas Hernández,FRA,DF, Paris S-G,1996,8,7,620,6.9,1,0,1,1,0,0,2,0,0.7,0.7,0.8,1.4,13,31,7,0.15,0.00,0.15,0.15,0.15,0.09,0.11,0.21,0.09,0.21,fr
Theo Hernández,FRA,DF, Milan,1997,6,6,540,6.0,0,1,1,0,0,0,0,0,0.8,0.8,0.9,1.7,19,25,21,0.00,0.17,0.17,0.00,0.17,0.13,0.15,0.28,0.13,0.28,it
André Horta,POR,MF, Braga,1996,3,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,3,2,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.16,0.00,0.16,pt
Ricardo Horta,POR,"FW,MF", Braga,1994,6,6,500,5.6,0,3,3,0,0,0,1,0,1.2,1.2,1.2,2.4,6,28,33,0.00,0.54,0.54,0.00,0.54,0.21,0.22,0.43,0.21,0.43,pt
Mats Hummels,GER,DF, Dortmund,1988,8,8,720,8.0,0,0,0,0,0,0,2,0,0.5,0.5,0.1,0.6,8,37,1,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.07,0.06,0.07,de
Oh Hyeon-gyu,KOR,"FW,MF",t Celtic,2001,5,0,104,1.2,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,1,3,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.13,0.13,0.13,sc
Elseid Hysaj,ALB,DF, Lazio,1994,5,5,340,3.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,19,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,it
Yang Hyunjun,KOR,FW,t Celtic,2002,4,2,209,2.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,5,3,15,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,sc
Oscar Højlund,DEN,MF, FC Copenhagen,2005,6,0,47,0.5,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,1,0,0.00,0.00,0.00,0.00,0.00,0.45,0.00,0.45,0.45,0.45,dk
Rasmus Højlund,DEN,FW,g Manchester Utd,2003,6,6,485,5.4,5,0,5,5,0,0,0,0,3.5,3.5,0.5,4.0,5,2,21,0.93,0.00,0.93,0.93,0.93,0.65,0.09,0.75,0.65,0.75,en
Mauro Icardi,ARG,FW, Galatasaray,1993,6,6,518,5.8,2,0,2,1,1,2,0,0,4.1,2.6,0.8,3.4,1,5,23,0.35,0.00,0.35,0.17,0.17,0.72,0.14,0.86,0.45,0.59,tr
George Ilenikhena,FRA,FW, Antwerp,2006,6,1,157,1.7,1,0,1,1,0,0,0,0,0.8,0.8,0.3,1.1,1,2,4,0.57,0.00,0.57,0.57,0.57,0.45,0.17,0.62,0.45,0.62,be
Ciro Immobile,ITA,FW, Lazio,1990,8,7,502,5.6,4,0,4,3,1,1,1,0,3.1,2.3,0.3,2.6,5,7,33,0.72,0.00,0.72,0.54,0.54,0.55,0.05,0.60,0.41,0.46,it
Hwang In-beom,KOR,MF, Red Star,1996,6,6,530,5.9,1,1,2,1,0,0,2,0,0.9,0.9,1.2,2.2,9,26,16,0.17,0.17,0.34,0.17,0.34,0.15,0.21,0.37,0.15,0.37,rs
Alexander Isak,SWE,FW,g Newcastle Utd,1999,5,4,312,3.5,1,0,1,1,0,0,0,0,1.4,1.4,0.4,1.9,7,9,18,0.29,0.00,0.29,0.29,0.29,0.41,0.13,0.54,0.41,0.54,en
Gustav Isaksen,DEN,FW, Lazio,2001,5,2,245,2.7,0,1,1,0,0,0,0,0,0.7,0.7,0.8,1.5,9,7,30,0.00,0.37,0.37,0.00,0.37,0.27,0.28,0.55,0.27,0.55,it
Cedric Itten,SUI,FW, Young Boys,1996,4,4,278,3.1,1,0,1,0,1,1,0,0,1.3,0.5,0.0,0.5,2,5,4,0.32,0.00,0.32,0.00,0.00,0.41,0.01,0.42,0.16,0.17,ch
Mirko Ivanić,MNE,MF, Red Star,1993,5,5,373,4.1,0,1,1,0,0,0,2,0,0.5,0.5,0.7,1.2,7,19,20,0.00,0.24,0.24,0.00,0.24,0.11,0.17,0.28,0.11,0.28,rs
Luka Ivanušec,CRO,"FW,MF", Feyenoord,1998,5,2,205,2.3,0,1,1,0,0,0,0,0,0.1,0.1,0.3,0.3,9,10,19,0.00,0.44,0.44,0.00,0.44,0.03,0.11,0.15,0.03,0.15,nl
Tomoki Iwata,JPN,"MF,FW",t Celtic,1997,3,1,62,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,sc
Paul Jaeckel,GER,DF, Union Berlin,1998,3,2,175,1.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,de
Alireza Jahanbakhsh,IRN,"FW,DF", Feyenoord,1993,4,0,74,0.8,1,0,1,1,0,0,0,0,0.3,0.3,0.4,0.6,6,5,24,1.22,0.00,1.22,1.22,1.22,0.31,0.45,0.75,0.31,0.75,nl
Ivan Jaime Pajuelo,ESP,MF, Porto,2000,4,1,91,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,4,3,6,0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.11,0.03,0.11,pt
Saidy Janko,GAM,DF, Young Boys,1995,5,4,324,3.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,9,3,5,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,ch
Vincent Janssen,NED,FW, Antwerp,1994,6,5,409,4.5,1,0,1,1,0,0,1,0,1.0,1.0,0.3,1.3,1,7,15,0.22,0.00,0.22,0.22,0.22,0.21,0.07,0.28,0.21,0.28,be
Elias Jelert,DEN,DF, FC Copenhagen,2003,7,7,585,6.5,0,0,0,0,0,0,3,1,0.0,0.0,0.1,0.1,16,19,18,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,dk
Valdemar Jensen,DEN,DF, FC Copenhagen,2003,2,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dk
Gabriel Jesus,BRA,FW,g Arsenal,1997,6,4,359,4.0,4,2,6,4,0,0,1,0,2.1,2.1,1.9,4.1,8,10,40,1.00,0.50,1.50,1.00,1.50,0.59,0.53,1.11,0.59,1.11,en
Juan Jesus,BRA,DF, Napoli,1991,5,5,428,4.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,1,9,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,it
Joelinton,BRA,"MF,FW",g Newcastle Utd,1996,4,4,334,3.7,1,0,1,1,0,0,2,0,0.5,0.5,1.0,1.6,9,15,21,0.27,0.00,0.27,0.27,0.27,0.15,0.27,0.42,0.15,0.42,en
Alistair Johnston,CAN,DF,t Celtic,1998,6,6,540,6.0,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.1,5,38,25,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,sc
Michael Johnston,IRL,FW,t Celtic,1999,2,1,97,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,6,3,5,0.00,0.00,0.00,0.00,0.00,0.04,0.16,0.20,0.04,0.20,sc
Frenkie de Jong,NED,MF, Barcelona,1997,3,3,237,2.6,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,4,22,4,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,es
Luuk de Jong,NED,FW, PSV Eindhoven,1990,7,7,627,7.0,3,0,3,1,2,2,1,0,3.8,2.2,0.5,2.7,4,8,33,0.43,0.00,0.43,0.14,0.14,0.54,0.07,0.61,0.32,0.38,nl
Joan Jordán,ESP,MF, Sevilla,1994,2,1,81,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,es
Jorginho,ITA,MF,g Arsenal,1991,7,4,399,4.4,1,0,1,0,1,1,1,0,0.8,0.0,0.2,0.3,2,20,1,0.23,0.00,0.23,0.00,0.00,0.18,0.06,0.24,0.00,0.06,en
Joselu,ESP,FW, Real Madrid,1990,7,2,257,2.9,3,0,3,3,0,0,0,0,3.9,3.9,0.4,4.3,2,1,12,1.05,0.00,1.05,1.05,1.05,1.37,0.13,1.51,1.37,1.51,es
Luka Jović,SRB,"FW,MF", Milan,1997,2,0,32,0.4,0,0,0,0,0,0,1,0,0.6,0.6,0.5,1.1,2,3,0,0.00,0.00,0.00,0.00,0.00,1.57,1.41,2.98,1.57,2.98,it
Mauro Júnior,BRA,"MF,DF", PSV Eindhoven,1999,3,2,183,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,3,6,8,0.00,0.00,0.00,0.00,0.00,0.01,0.18,0.19,0.01,0.19,nl
Hamed Junior Traorè,CIV,MF, Napoli,2000,2,1,100,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,0,10,4,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.18,0.00,0.18,it
Vinicius Júnior,BRA,FW, Real Madrid,2000,5,5,443,4.9,3,2,5,3,0,0,2,0,1.7,1.7,2.2,3.9,32,14,66,0.61,0.41,1.02,0.61,1.02,0.34,0.45,0.79,0.34,0.79,es
Josip Juranović,CRO,DF, Union Berlin,1995,5,5,414,4.6,0,0,0,0,0,0,1,0,0.2,0.2,0.5,0.7,7,8,6,0.00,0.00,0.00,0.00,0.00,0.04,0.11,0.15,0.04,0.15,de
David Jurásek,CZE,"MF,DF", Benfica,2000,3,1,129,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,3,4,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.10,pt
Uroš Kabić,SRB,DF, Red Star,2004,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,rs
Pierre Kalulu,FRA,DF, Milan,2000,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,it
Daichi Kamada,JPN,MF, Lazio,1996,7,3,258,2.9,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,2,13,7,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.07,0.04,0.07,it
Dijon Kameri,AUT,MF, RB Salzburg,2004,1,0,9,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,at
Kevin Kampl,SVN,MF, RB Leipzig,1990,7,3,282,3.1,0,2,2,0,0,0,1,0,0.0,0.0,0.4,0.5,9,17,1,0.00,0.64,0.64,0.00,0.64,0.02,0.14,0.16,0.02,0.16,de
Harry Kane, ENG,FW, Bayern Munich,1993,8,8,708,7.9,6,3,9,5,1,1,0,0,4.5,3.7,1.1,4.8,8,31,24,0.76,0.38,1.14,0.64,1.02,0.57,0.14,0.71,0.47,0.61,de
Lee Kang-in,KOR,"MF,FW", Paris S-G,2001,6,2,255,2.8,1,1,2,1,0,0,1,0,1.1,1.1,0.1,1.2,7,35,17,0.35,0.35,0.71,0.35,0.71,0.38,0.04,0.42,0.38,0.42,fr
Guélor Kanga,GAB,MF, Red Star,1990,3,2,147,1.6,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,6,3,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,rs
Kings Kangwa,ZAM,MF, Red Star,1999,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,rs
Kazımcan Karataş,TUR,DF, Galatasaray,2003,1,1,74,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,3,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,tr
Oleksii Kashchuk,UKR,FW, Shakhtar,2000,1,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ua
Aleksandar Katai,SRB,"MF,FW", Red Star,1991,5,0,79,0.9,1,0,1,1,0,0,0,0,0.4,0.4,0.6,1.0,1,1,9,1.14,0.00,1.14,1.14,1.14,0.42,0.69,1.11,0.42,1.11,rs
Mandela Keita,BEL,MF, Antwerp,2002,3,3,262,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,7,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,be
Kevin Kelsy,VEN,FW, Shakhtar,2004,5,1,134,1.5,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,0,1,3,0.67,0.00,0.67,0.67,0.67,0.17,0.00,0.17,0.17,0.17,ua
Aljoscha Kemlein,GER,MF, Union Berlin,2004,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,de
Gyrano Kerk,NED,FW, Antwerp,1995,5,3,206,2.3,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,8,10,12,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10,be
Rani Khedira,GER,MF, Union Berlin,1994,4,4,290,3.2,0,0,0,0,0,0,2,0,0.0,0.0,0.4,0.4,0,5,2,0.00,0.00,0.00,0.00,0.00,0.02,0.11,0.13,0.02,0.13,de
Joshua Kimmich,GER,"MF,DF", Bayern Munich,1995,8,8,720,8.0,0,2,2,0,0,0,1,0,0.3,0.3,1.5,1.8,9,62,24,0.00,0.25,0.25,0.00,0.25,0.04,0.18,0.23,0.04,0.23,de
Jakub Kiwior,POL,DF,g Arsenal,2000,6,3,336,3.7,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,2,21,2,0.00,0.00,0.00,0.00,0.00,0.07,0.04,0.11,0.07,0.11,en
Simon Kjær,DEN,DF, Milan,1989,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,it
Maurits Kjærgaard,DEN,"MF,FW", RB Salzburg,2003,3,3,206,2.3,0,1,1,0,0,0,0,0,0.1,0.1,0.2,0.3,9,13,10,0.00,0.44,0.44,0.00,0.44,0.05,0.08,0.14,0.05,0.14,at
Davy Klaassen,NED,"MF,FW", Inter,1993,4,1,84,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,it
Lukas Klostermann,GER,DF, RB Leipzig,1996,6,3,356,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,de
Robin Knoche,GER,DF, Union Berlin,1992,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,6,14,1,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,de
Gregor Kobel,SUI,GK, Dortmund,1997,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,de
Sekou Koita,MLI,FW, RB Salzburg,1999,2,0,68,0.8,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.4,1,3,4,0.00,0.00,0.00,0.00,0.00,0.16,0.36,0.52,0.16,0.52,at
Orkun Kökçü,TUR,MF, Benfica,2000,5,3,263,2.9,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,2,12,5,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.09,0.06,0.09,pt
Koke,ESP,MF, Atlético Madrid,1992,7,6,591,6.6,0,1,1,0,0,0,2,0,0.1,0.1,0.7,0.7,4,38,9,0.00,0.15,0.15,0.00,0.15,0.01,0.11,0.11,0.01,0.11,es
Randal Kolo Muani,FRA,"FW,MF", Paris S-G,1998,8,6,441,4.9,1,0,1,1,0,0,1,0,1.9,1.9,1.5,3.4,14,15,35,0.20,0.00,0.20,0.20,0.20,0.39,0.31,0.69,0.39,0.69,fr
Karim Konaté,CIV,"FW,MF", RB Salzburg,2004,5,3,237,2.6,0,0,0,0,0,1,0,0,1.8,1.0,0.2,1.2,8,3,16,0.00,0.00,0.00,0.00,0.00,0.70,0.07,0.76,0.40,0.46,at
Yukhym Konoplia,UKR,DF, Shakhtar,1999,3,3,255,2.8,0,1,1,0,0,0,3,0,0.1,0.1,0.3,0.3,3,7,12,0.00,0.35,0.35,0.00,0.35,0.02,0.10,0.12,0.02,0.12,ua
Ilias Kostis,GRE,FW, Atlético Madrid,2003,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,es
Jules Koundé,FRA,DF, Barcelona,1998,6,6,540,6.0,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.4,2,27,4,0.00,0.00,0.00,0.00,0.00,0.01,0.06,0.06,0.01,0.06,es
Mateo Kovačić,CRO,MF,g Manchester City,1994,4,4,334,3.7,0,0,0,0,0,0,0,0,0.4,0.4,0.3,0.6,14,11,11,0.00,0.00,0.00,0.00,0.00,0.09,0.07,0.17,0.09,0.17,en
Alex Král,CZE,MF, Union Berlin,1998,6,2,251,2.8,1,1,2,1,0,0,0,0,0.1,0.1,0.3,0.4,6,14,3,0.36,0.36,0.72,0.36,0.72,0.02,0.11,0.14,0.02,0.14,de
Jean-Philippe Krasso,CIV,"FW,MF", Red Star,1997,4,1,111,1.2,0,1,1,0,0,0,1,0,0.5,0.5,0.0,0.5,2,4,5,0.00,0.81,0.81,0.00,0.81,0.38,0.04,0.42,0.38,0.42,rs
Frans Krätzig,GER,DF, Bayern Munich,2003,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,de
Toni Kroos,GER,MF, Real Madrid,1990,7,5,481,5.3,0,0,0,0,0,0,1,0,0.1,0.1,0.8,0.9,5,47,5,0.00,0.00,0.00,0.00,0.00,0.03,0.14,0.17,0.03,0.17,es
Rade Krunić,BIH,"MF,DF", Milan,1993,4,2,211,2.3,0,0,0,0,0,0,2,0,0.0,0.0,0.5,0.5,8,13,0,0.00,0.00,0.00,0.00,0.00,0.01,0.22,0.23,0.01,0.23,it
Dmytro Kryskiv,UKR,"MF,FW", Shakhtar,2000,5,5,388,4.3,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,7,8,8,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,ua
Takefusa Kubo,JPN,"FW,MF", Real Sociedad,2001,8,7,559,6.2,0,1,1,0,0,0,2,0,0.4,0.4,2.2,2.6,31,23,67,0.00,0.16,0.16,0.00,0.16,0.06,0.36,0.42,0.06,0.42,es
